word,globalWeek,totalUses
a,202428,1
a,202429,1
a,202433,2
a,202437,2
aa,202429,3
aa,202432,7
aa,202433,3
aa,202437,1
aaa,202429,1
aaa,202433,2
aaa,202437,2
aaaaa,202428,1
aba,202429,1
abtam,202429,1
ada,202436,1
adrehite,202432,1
aew,202429,13
agh,202429,1
ah,202429,2
ah,202433,1
aha,202429,1
aiva,202429,1
aivan,202429,1
aivanis,202428,1
aiwan,202428,9
aiwan,202429,12
aiwan,202433,1
aiwanaiwan,202428,2
aiwanaiwan,202429,2
akkubeze,202428,1
aliran,202431,8
aliran,202432,11
aller,202432,2
an,202431,6
an,202432,8
an,202433,17
an,202437,5
angry,202428,1
anu,202428,1
ar,202429,4
ar,202431,8
ar,202432,2
ardeh,202429,1
ardehada,202437,2
ardehite,202432,2
ardehote,202432,2
ardehote,202433,7
ardehote,202436,1
ardehote,202437,1
ardehotte,202431,6
ardehotte,202432,2
arwusta,202428,2
arwusta,202429,5
arwusta,202433,14
at,202436,2
atu,202429,13
atu,202431,7
atu,202432,7
atu,202433,19
atu,202436,12
atu,202437,3
atuatu,202433,1
atuatu,202437,1
awain,202433,1
ba,202429,3
baaba,202429,4
baddi,202429,3
bakeze,202428,1
bakeze,202433,2
bakkeze,202428,5
bakkeze,202429,9
bakkeze,202432,2
bakkeze,202433,3
bakku,202428,1
bakzu,202436,1
balaxi,202428,1
balaxi,202429,1
bale,202429,1
bana,202429,1
basic,202429,1
basku,202433,3
berri,202429,2
berri,202432,4
berri,202433,6
bey,202428,2
bey,202429,3
beyotte,202431,1
bicse,202428,1
bisu,202431,3
bisu,202433,5
bisubakkeze,202431,4
biyaakah,202428,1
bizkada,202436,1
bizkote,202432,1
bizkote,202433,5
bizkote,202436,1
bizkote,202437,1
bizkotte,202429,6
bizku,202429,1
bizku,202436,1
bleikja,202432,2
bottom,202436,1
braggur,202429,3
bregidh,202429,1
bukit,202433,6
bwana,202428,1
bwana,202429,7
bwana,202431,2
bwana,202432,6
bwana,202433,7
bwana,202436,2
bwana,202437,1
bwanaba,202433,3
bwanga,202436,3
bwanga,202437,2
bwanote,202429,2
bwanotte,202429,1
bwazzotte,202429,2
bwingu,202436,8
bwingu,202437,4
dauur,202429,2
dawa,202429,1
dejvid,202428,1
dejvid,202429,6
dejvid,202431,4
dejvid,202432,12
dejvid,202433,2
dejvid,202435,1
dejvid,202437,1
denir,202432,3
der,202432,1
det,202432,1
duma,202433,3
duvas,202433,2
duvasba,202433,3
duvaste,202433,8
duvaste,202437,1
dyr,202432,7
dyr,202433,27
dyrba,202433,1
dyrialle,202432,7
dyrialle,202433,3
efin,202432,2
ekivalan,202433,8
ekkibwana,202432,2
ekkinalaegt,202432,2
ekkixagotte,202432,1
eld,202429,7
eld,202432,2
eld,202433,2
eldit,202429,1
eldotte,202432,2
eltannote,202432,2
eltanote,202432,3
empas,202436,1
empasada,202436,5
empasote,202436,1
empasu,202436,4
ence,202433,2
er,202428,2
er,202429,31
er,202431,5
er,202432,41
er,202433,41
er,202435,1
er,202436,7
erba,202432,12
erba,202433,8
eryn,202429,9
evamdi,202429,1
farcite,202428,1
faxaotte,202432,1
faxxa,202437,1
faxxaa,202429,8
faxxaaba,202429,1
faxxaote,202433,1
faxxaotte,202431,5
faxxate,202433,5
faxxate,202436,1
faxxote,202433,2
fin,202436,1
finn,202428,1
finn,202429,3
finn,202431,1
finn,202432,1
finn,202436,1
finn,202437,1
fiskur,202428,3
fiskur,202432,10
fiskurbakkeze,202432,3
